TIGR4.old,D39.old,TIGR4.new,TAIWAN.19F.new,TAIWAN.19F.old,D39.new,Location.Tag,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,Gene.Name,Gene.Description,Pathway,Pathway.Name
SP_0505,SPD_0451,SP_RS02480,n.p,n.p.,SPD_RS02390,Intracellular,GENETIC INFORMATION PROCESSING,,,DNA repair and editing,,,1,hsdS,Type I restriction endonuclease S subunit,,
SP_0001,SPD_0001,SP_RS00005,SPT_RS00035,SPT_0001,SPD_RS00005,Intracellular,GENETIC INFORMATION PROCESSING,,,Replication,,,1,dnaA,chromosomal replication initiator protein DnaA,spn02020,Two-component system 
SP_0014,SPD_0014,SP_RS00070,SPT_RS00250,SPT_0048,SPD_RS00070,Intracellular,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,,Transcription,Cellular community,,2,comX1,transcriptional regulator ComX1,spn02020,Two-component system 
SP_0014,SPD_0014,SP_RS00070,SPT_RS00250,SPT_0048,SPD_RS00070,Intracellular,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,,Transcription,Cellular community,,2,comX1,transcriptional regulator ComX1,spn02024,Quorum sensing 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn00030,Pentose phosphate pathway 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn00230,Purine metabolism 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01100,Metabolic pathways 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01110,Biosynthesis of secondary metabolites 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01120,Microbial metabolism in diverse environments 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01130,Biosynthesis of antibiotics 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01200,Carbon metabolism 
SP_0027,SPD_0033,SP_RS00175,SPT_RS00335,SPT_0066,SPD_RS00180,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,prsA,ribose-phosphate pyrophosphokinase,spn01230,Biosynthesis of amino acids 
SP_0044,SPD_0051,SP_RS00265,SPT_RS00420,SPT_0082,SPD_RS00275,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,spn00230,Purine metabolism 
